source_path,source_type,target_path,target_type,relation_type,confidence,current_context,recommendation,reason,risk,suggested_action,responsible_agent,requires_manual_review,status_onda1,reason_onda1,applied_at,backup_path
.agents/skills/vercel-react-best-practices/AGENTS.md,agente,.agents/skills/vercel-react-best-practices/rules/async-defer-await.md,agente,INCERTA,0.45,1.1 Check Cheap Conditions Before Async Flags,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
.agents/skills/vercel-react-best-practices/AGENTS.md,agente,.agents/skills/vercel-react-best-practices/rules/async-cheap-condition-before-await.md,agente,INCERTA,0.45,1.2 Defer Await Until Needed,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
.agents/skills/vercel-react-best-practices/AGENTS.md,agente,.agents/skills/vercel-react-best-practices/rules/server-hoist-static-io.md,agente,INCERTA,0.45,3.3 Avoid Shared Module State for Request Data,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
.agents/skills/vercel-react-best-practices/rules/async-cheap-condition-before-await.md,agente,.agents/skills/vercel-react-best-practices/rules/async-defer-await.md,agente,INCERTA,0.45,Check Cheap Conditions Before Async Flags,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
.agents/skills/vercel-react-best-practices/rules/async-defer-await.md,agente,.agents/skills/vercel-react-best-practices/rules/async-cheap-condition-before-await.md,agente,INCERTA,0.45,Defer Await Until Needed,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
.agents/skills/vercel-react-best-practices/rules/server-no-shared-module-state.md,agente,.agents/skills/vercel-react-best-practices/rules/server-hoist-static-io.md,agente,INCERTA,0.45,Avoid Shared Module State for Request Data,sugerir revisão/limpeza,sem evidência suficiente no contexto local do link,médio,revisar manualmente,Agente Governança do Viny Brain,sim,needs_review,abaixo do limite de confiança automática ou depende de avaliação semântica humana,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Base de Conhecimento.md,MOC ou mapa,13 - Base de Conhecimento/00 - Índice/Índice Geral.md,índice,NAVEGAÇÃO,0.82,Estrutura,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Base de Conhecimento.md,MOC ou mapa,13 - Base de Conhecimento/00 - Índice/Mapa por Temas.md,MOC ou mapa,NAVEGAÇÃO,0.82,Estrutura,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Base de Conhecimento.md,MOC ou mapa,13 - Base de Conhecimento/00 - Índice/Como usar a Base de Conhecimento.md,índice,NAVEGAÇÃO,0.82,Estrutura,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
00 - Mapas/MOC - Base de Conhecimento.md,MOC ou mapa,13 - Base de Conhecimento/00 - Índice/Plano de Importação.md,índice,NAVEGAÇÃO,0.82,Estrutura,manter,item listado em MOC/índice,baixo,manter,Agente Governança do Viny Brain,não,preserved,preservado por ser link forte/navegação/rastreabilidade ou sem autorização de remoção automática,,/home/vinicius-alves/viny-brain-backups/Conexoes Obsidian/Onda 1 - 2026-08-06
