ticket_id,ticket_num,status,department,subject,subject_final,message,plugin,plugin_slug,plugins_detectados,domain,activation_requested,authorization_detected,completion_detected,wordpress_context,decision,classification,priority,classification_reason,score,signals,fields_used,blocked_actions,is_candidate,source,debug_fields
12345,,Open,Suporte,Ativacao de plugin,Ativacao de plugin,"Ola, preciso ativar o Elementor Pro no dominio exemplo.com.br.",Elementor Pro,elementor-pro,Elementor Pro,exemplo.com.br,True,False,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,90,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""ativar"", ""ativacao"", ""ativação"", ""plugin"", ""ativar"", ""ativacao"", ""ativação"", ""plugin""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""Elementor Pro""], ""raw_subject_fields"": {""subject"": ""Ativacao de plugin""}}"
12346,,Answered,Suporte,Liberar WP Rocket,Liberar WP Rocket,Pode liberar o WP Rocket para o site loja.exemplo.com.br?,WP Rocket,wp-rocket,WP Rocket,loja.exemplo.com.br,True,True,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,100,activation_keyword | plugin_whitelist_match | domain_detected | authorization_detected | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""liberar"", ""liberar""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""WP Rocket""], ""raw_subject_fields"": {""subject"": ""Liberar WP Rocket""}}"
12347,,Open,Suporte,Ativacao pendente,Ativacao pendente,"Preciso ativar um plugin no WordPress, mas nao lembro o nome agora.",,,,,True,False,False,True,needs_review,REVISAR,revisar_manual,sinais parciais de ativação ou plugin,45,activation_keyword | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""ativar"", ""ativacao"", ""ativação"", ""plugin"", ""ativar"", ""ativacao"", ""ativação"", ""plugin""], ""motivo"": ""sinais parciais de ativação ou plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""subject"": ""Ativacao pendente""}}"
12352,,Open,Suporte,Plugin não permitido,Plugin não permitido,Quero instalar um plugin de backup nao listado aqui no meu site exemplo.com.br.,,,,exemplo.com.br,True,False,False,True,needs_review,REVISAR,revisar_manual,sinais parciais de ativação ou plugin,50,activation_keyword | domain_detected | wordpress_context | pending_status | installation_language,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""plugin"", ""plugin""], ""motivo"": ""sinais parciais de ativação ou plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""subject"": ""Plugin não permitido""}}"
12354,,Open,Suporte,Rank Math no dominio principal,Rank Math no dominio principal,Ativar Rank Math SEO Pro no dominio principal cliente10.com.br,Rank Math SEO Pro,rank-math-seo-pro,Rank Math SEO Pro,cliente10.com.br,True,False,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,90,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""ativar"", ""ativar""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""Rank Math SEO Pro""], ""raw_subject_fields"": {""subject"": ""Rank Math no dominio principal""}}"
12355,,Open,Suporte,Instalacao de plugin,Instalacao de plugin,"Preciso instalar o JetEngine no site cliente11.com.br, pode verificar?",JetEngine,jetengine,JetEngine,cliente11.com.br,True,False,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,80,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status | installation_language,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""plugin"", ""plugin""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""JetEngine""], ""raw_subject_fields"": {""subject"": ""Instalacao de plugin""}}"
12356,,Answered,Suporte,Licenca do plugin,Licenca do plugin,"Quero a licenca do Elementor Pro, sem dominio ainda.",Elementor Pro,elementor-pro,Elementor Pro,,True,False,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,65,activation_keyword | plugin_whitelist_match | wordpress_context | pending_status | license_language,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""plugin"", ""plugin""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""Elementor Pro""], ""raw_subject_fields"": {""subject"": ""Licenca do plugin""}}"
12357,,Open,Suporte,Erro no Elementor,Erro no Elementor,O Elementor está com erro na pagina inicial do site loja12.com.br.,Elementor Pro,elementor-pro,Elementor Pro,loja12.com.br,True,False,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,55,plugin_whitelist_match | domain_detected | wordpress_context | pending_status | error_language,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""Elementor Pro""], ""raw_subject_fields"": {""subject"": ""Erro no Elementor""}}"
12358,,Open,Suporte,Ativar plugin sem dominio,Ativar plugin sem dominio,"Pode ativar o WP Rocket, por favor?",WP Rocket,wp-rocket,WP Rocket,,True,True,False,True,pending_activation,PRONTO PARA APROVAÇÃO,fila_ativacao,pedido claro de ativação de plugin com plugin conhecido,90,activation_keyword | plugin_whitelist_match | authorization_detected | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""ativar"", ""plugin"", ""ativar"", ""plugin""], ""motivo"": ""pedido claro de ativação de plugin com plugin conhecido"", ""plugins_encontrados"": [""WP Rocket""], ""raw_subject_fields"": {""subject"": ""Ativar plugin sem dominio""}}"
12359,,Open,Suporte,Plugin novo,Plugin novo,Quero ativar o plugin Backup Master no site cliente15.com.br.,,,,cliente15.com.br,True,False,False,True,needs_review,REVISAR,revisar_manual,sinais parciais de ativação ou plugin,60,activation_keyword | domain_detected | wordpress_context | pending_status,"{""created_at"": ""created_at"", ""customer_email"": ""customer_email"", ""department"": ""department"", ""last_reply_by"": ""last_reply_by"", ""message"": ""message"", ""status"": ""status"", ""subject"": ""subject"", ""ticket_id"": ""ticket_id""}",AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail,"{""campo_subject_escolhido"": ""subject"", ""campos_encontrados_no_resumo"": [""created_at"", ""customer"", ""customer_email"", ""department"", ""last_reply_by"", ""message"", ""status"", ""subject"", ""ticket_id""], ""ignorado"": false, ""keywords_encontradas"": [""ativar"", ""plugin"", ""ativar"", ""plugin""], ""motivo"": ""sinais parciais de ativação ou plugin"", ""plugins_encontrados"": [], ""raw_subject_fields"": {""subject"": ""Plugin novo""}}"
