ticket_id,status,subject,message,plugin,plugin_slug,domain,activation_requested,authorization_detected,completion_detected,wordpress_context,decision,classification,score,signals,blocked_actions,is_candidate,source
12345,Open,Ativacao de plugin,"Ola, preciso ativar o Elementor Pro no dominio exemplo.com.br.",Elementor Pro,elementor-pro,exemplo.com.br,True,False,False,True,needs_review,REVISAR,90,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12346,Answered,Liberar WP Rocket,Pode liberar o WP Rocket para o site loja.exemplo.com.br?,WP Rocket,wp-rocket,loja.exemplo.com.br,True,True,False,True,pending_activation,ALTA CONFIANCA,100,activation_keyword | plugin_whitelist_match | domain_detected | authorization_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12347,Open,Ativacao pendente,"Preciso ativar um plugin no WordPress, mas nao lembro o nome agora.",,,,True,False,False,True,needs_review,REVISAR,45,activation_keyword | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12352,Open,Plugin não permitido,Quero instalar um plugin de backup nao listado aqui no meu site exemplo.com.br.,,,exemplo.com.br,True,False,False,True,needs_review,REVISAR,50,activation_keyword | domain_detected | wordpress_context | pending_status | installation_language,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12354,Open,Rank Math no dominio principal,Ativar Rank Math SEO Pro no dominio principal cliente10.com.br,Rank Math SEO Pro,rank-math-seo-pro,cliente10.com.br,True,False,False,True,needs_review,REVISAR,90,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12355,Open,Instalacao de plugin,"Preciso instalar o JetEngine no site cliente11.com.br, pode verificar?",JetEngine,jetengine,cliente11.com.br,True,False,False,True,needs_review,REVISAR,80,activation_keyword | plugin_whitelist_match | domain_detected | wordpress_context | pending_status | installation_language,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12356,Answered,Licenca do plugin,"Quero a licenca do Elementor Pro, sem dominio ainda.",Elementor Pro,elementor-pro,,True,False,False,True,needs_review,REVISAR,65,activation_keyword | plugin_whitelist_match | wordpress_context | pending_status | license_language,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12357,Open,Erro no Elementor,O Elementor está com erro na pagina inicial do site loja12.com.br.,Elementor Pro,elementor-pro,loja12.com.br,True,False,False,True,needs_review,REVISAR,55,plugin_whitelist_match | domain_detected | wordpress_context | pending_status | error_language,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12358,Open,Ativar plugin sem dominio,"Pode ativar o WP Rocket, por favor?",WP Rocket,wp-rocket,,True,True,False,True,needs_review,REVISAR,90,activation_keyword | plugin_whitelist_match | authorization_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12359,Open,Plugin novo,Quero ativar o plugin Backup Master no site cliente15.com.br.,,,cliente15.com.br,True,False,False,True,needs_review,REVISAR,60,activation_keyword | domain_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
12360,Open,Pode ativar?,Pode ativar para mim no dominio cliente16.com.br.,,,cliente16.com.br,True,True,False,True,pending_activation,ALTA CONFIANCA,75,activation_keyword | domain_detected | authorization_detected | wordpress_context | pending_status,AddTicketReply | UpdateTicket | CloseTicket | DeleteTicket | AddTicketNote,True,detail
